COMPANY,CEO,TOWN,HQ,Field,email,phone
SUMOCAM ( Sucreries Modernes du Cameroun ), Monsieur Thimothé GAMO(Directeur général), DOUALA," Bonabéri, Zone industrielle", ASSURANCES VIE, infos@tntafrica.com, 233 40 40 73
SUNDA Cameroun Ltd, Monsieur YUE JIE (D.G), DOUALA," Yaoundé, Hypodromme, Immeuble lekié", Syndicat (industriels), total@total.cm, 233 39 38 76 / 233 39 38 78
SUNU CAMEROUN, Madame Chantal MOUELLE(Directeur général adjoint), DOUALA, Akwa, Syndicat, cac_vis3@yahoo.fr, 222 00 17 31/222 23 10 71/ 233 15 15 77
SYNDUSTRICAM (Syndicat des Industriels du Cameroun), Monsieur Alain MALONG(Président), YAOUNDE," AKWA, 589, BLD de la Liberté", Fabrication de profils de couverture et de bardage en tôles (aluzinc-prélaquées) et buses métalliques, contact.cameroun@tractafrictae.com, 233 01 49 28
SYPRODIS, Monsieur ABEGA MINKALA (Président), Douala," Bassa, PK 12, avant le marché"," Acquisition et gestion des valeurs mobilères, création et prise de participation dans les sociétés, réalisation et gestion d'opérations immobilières, prestations de gestion des sociétés", tws.sarl@gmail.com, 233 42 63 41
TAC (Tôles et Aciers du Cameroun), Monsieur Ludewijk DE LAERE(Président directeur général), Douala," Bassa, SHO", INGENIEURIE ET TRAVAUX ELECTRIQUES, etouflo@yahoo.fr, 233 37 60 45; 677 70 87 56
TAF INVESTMENT GROUP," M. Gaël Fotso (Directeur général), M. Olivier Fotso (Directeur général adjoint)()", Douala," Bonanjo, zone portuaire, derrière Pullman, à coté Panalpina", Exportation de cacao, transimartransimar@yahoo.fr, 233 37 90 83
TECHNOLOGIE ZENTRUM SARL, Monsieur Paul Désiré KOUENKAM NANSI(Directeur général), DOUALA," Yaoundé, Ngousso, apres la station blessing", Communication et Edition, info@transimex-cm.com; ousmanou@transimex-cm.com, 2 33 04 03 49
TELCAR COCOA LTD, Madame Kate KANYI-TOMETI FOTSO(Directeur général), DOUALA, Zone portuaire, Services de communication électronique, reachus@triberix.com, 222 20 71 36 / 699 76 45 98/ 222 20 67 08
THELI RP, Monsieur Thierry EKOUTI(Directeur général), YAOUNDE," Bonanjo, Port, face maersk", Distribution de produits pétroliers, akamtchouang@yahoo.fr, 233 42 78 91
TNT AFRICA CAMEROUN," M. Juteau Morgan Evrard (PCA), M. Albert Kamanou (DG)()", DOUALA, Deido, Transformation et commercialisation des plastiques et métaux, ucam@ucamsyndicat.net; ucamsyndicat@yahoo.com, 233 00 18 28 / 233 00 36 50
TOTAL Cameroun SA, Monsieur Adrien Bechonnet (directeur général), DOUALA," Bonaberi, Zone industrielle"," Distribution matériel Caterpillar, Hyster, location matériel et groupes électrogènes, SAV, contrat de maintenance", kadjin@sa-ucb.com; feyou@sa-ucb.com, 233417382
TPM SA (Transformation of Plastics and Metals), Monsieur NJIPNGANG Roger (PDG), DOUALA," Akwa, Boulevard de la Liberté", Négoce Bois, unalor_dla@yahoo.fr; ngeudeu@yahoo.fr, 233 39 41 70 / 71 / 72
TRACTAFRIC EQUIPEMENT, M. Jean-Philippe PETIT (Directeur général par intérim)(), DOUALA," Akwa, Boulevard de la Liberté"," Document de sécurité informatique, réseaux immobilier de luxe, génie civil", contact@ubm72.com / fpetto@ubm72.com, 233 43 36 39
TRADE WOOD & SERVICES Sarl, Monsieur J. Daniel LOBE EBONGUE(Directeur général), DOUALA, zone Portuaire, Transit maritime, direction@uticameroun.com,  233 43 78 11 / 233 43 19 30
TRADIMCO SARL (TRADING MANAGEMENT COMPANY), Monsieur Florent ETOUNDI AYISSI(Administrateur Directeur), DOUALA," Bassa, à coté HYDRAC"," Logistique (transport, entreposage, manutention), distribution (import)", utschcam@yahoo.fr, 233 42 15 21 /694 03 73 53 / 677 76 22 85
TRANSIMAR SA, Monsieur Constant DEUTOU NGAMAKO (PDG), DOUALA," Bassa, rue tractafric", Imprimerie," olivierdontsop@veliasarl.com, veliasarl@yaho.fr", 233 37 58 66 / 233 37 09 39
TRANSIMEX CAMEROUN, Monsieur NGAM OUSMANOU(Président directeur général), DOUALA," Bali, face Mobil Njo-Njo"," Import-export, commerce général, production", catherine.wedjou@wartsila.com, 233 37 03 08 / 233 37 58 09
TRIBERIX PLC, Monsieur NGOHMINANG ASAH AZEFOR (D.G), DOUALA, Bonabéri, Banque, simotahakam@yahoo.fr; worldindustrycar@yahoo.fr, 233 42 31 73 / 699 96 85 71
TROPIK INDUSTRIES CAMEROUN, Madame Adèle KAMTCHOUANG(Président directeur général), DOUALA," Bassa, Zone industrielle", Services bancaires, j.riviere@wijma.cm, 677 50 26 77 / 677 70 88 15
UBA (United Bank for Africa), Monsieur UDOM ISONG(Directeur général), DOUALA," Zone portuaire amont, à côté de DANGOTE"," Consignation de navires, services portuaires", gras.savoye@cm.grassavoye.com, 233 37 59 96/ 233 37 59 98
UBC (UNION BANK OF CAMEROON PLC), Monsieur Félix Landry NJOUME(Directeur Général), DOUALA, Bonanjo rail entrée du port, Fabrication de bière et de boissons gazeuses, julesfabricefuture@gmail.com, 233 50 54 00
UCAM (UNION DES CONSIGNATAIRES ET ARMATEURS DU CAMEROUN), Monsieur Jean Claude GENONI(Président); Madame Grace TEMBUNDE Epse FOMUKONG(Secrétaire exécutif), DOUALA," Aéroport, face ecole d'incendie", Manufacture d'allumettes," eric.tamko@yoomee.cm, support@yoomee.cm", 674 63 52 20
UCB (Union Camerounaise de Brasseries), Monsieur  Joseph KADJI  DEFOSSO(Président directeur général), DOUALA," Bonanjo, Avenue de Gaulle, face maison du partie"," Maintenance et location de photocopieurs, infographie", david.ekwabi@socgen.com, 233 430 711 / 233 428 022 / 679 538 301
UNALOR (Union Allumettière Equatoriale), Monsieur Gilbert DEFO(Directeur général), DOUALA," Bonanjo, Imm Ecobank"," Exportation cacao,café", zati.construction@yahoo.fr, 233 43 21 22 / 233 43 21 23
UNITED BUSINESS MACHINES, Monsieur Florian Aimé Petto (directeur général), DOUALA," 1218 Boulevard de la liberté Akwa, face IFC"," Production, construction des plaques d'immatriculation, conception et développement des systémes de sécurité et contrôle des documents",, 696076046
UTI ( Union Trading International), Monsieur Ephreim TCHAKOUNTE(Directeur général), DOUALA," AKWA , Ancien AEROFEU, face Saker", Commercialisation des Intrants agricoles,," 233 50 51 29, 242901008"
UTSCH CAMEROUN, Monsieur André TUETE KWAM (Directeur général), DOUALA," 78, Rue Joss Bonanjo-Douala"," Construction des centrales thermiques, des moteurs et systèmes de propulsion de bateaux, opération et maintenance des installations, vente des pièces détachées de moteurs et systèmes de propulsion de bateaux",, 233 50 19 00
VELIA SARL, Monsieur Olivier DONTSOP (D.G), DOUALA," Bonanjo, Newtown Aéroport", Contrôle technique automobile (Visite technique),, 694025028
WARTSILA, Monsieur Bertrand MBOUCK (Directeur général), DOUALA,, Exploitation forestière,,
WCI (WORLD CAR INDUSTRY ), Monsieur Jean Bosco TAHAKAM SIMO(Directeur général),,, Courtage en assurances,,
WIJMA CAMEROUN S.A., Monsieur Jacky RIVIERE(Directeur général),,, Prestations immobilières - BTP - Formations - Prestations de services,,
WILLIS TOWERS WATSON CAMEROUN, Monsieur FAYEZ SAMB (Directeur Général),,," Télécommunication, fournisseur d'accès internet",,
WISDOM INTERNATIONAL, Monsieur Sylvestre Magloire TAMO TCHUIMBOU  (PDG),,," Conception, exploitation, promotion et commercialisation d'offres de services financiers mobiles",,
YOOMEE Cameroun, Monsieur Jules César LENGUE (D.G),,," Vente de matériaux de construction, BTP, nétoyage industriel",,
YUP CAMEROUN S.A, Madame Sylviane MOUDEKE,,,,,
ZATI CONSTRUCTIONS, Monsieur TIAVE Emmanuel  (D.G),,,,,
